Sr No.,NAMC_ID,NAMC_CODE,Long_definition,Name English
888,916,ED-4.5,"the disorder is characterized by sarvali?gairyutatvam [clinical features of all types of d??a], abalatvam [lack of strength], tr???? [thirst], d?ha? [burning sensation], ??nt?gni? [loss of digestive power], jantujagdham [affected with worms], sarvad???lba?at? [predominance of all three d??a], ri???ktalak?a?ayuktam [associated with fatal signs], asthisam??rayam [involving asthi dh?tu], majj?sam??rayam [involving majj? dh?tu], ?ukrasam??rayam [involving ?ukra dh?tu]",incurable ku??ha
889,917,ED-4.6,"the disorder is characterized by prasrava?am [discharge], a?gabh?da? [cracking of skin/body parts], a?g?vayav?n?? patanam [suppuration, falling of body parts], tr???? [thirst], jvara? [fever], atis?ra? [diarrhoea], d?ha? [burning sensation], daurbalyam [weakness], ar?caka? [tastelessness], avip?ka? [indigestion]",complications of ku??ha
890,918,ED-4.7,-,fatal signs of ku??ha
891,919,ED-5(SN4D),-,Leucoderma (TM2)
892,920,ED-5.1,"the disorder is characterized by ma??alam [circular patches], aru?am [slightly reddish coloured], paru?am [rough/dry], paridhva?si [ruining], r?k?am [dry]",?vitra due to v?ta
893,921,ED-5.2,"the disorder is characterized by padmapatraprat?k??am/kamalapatravat [like the petals of a lotus], saparid?ha? [burning sensation], t?mra? [copper coloured], d?ha? [burning sensation], r?mavidhva?sanam [loss of hairs]",?vitra due to pitta
894,922,ED-5.3,"the disorder is characterized by ?v?ta? [whitish discoloration], snigdha? [smooth/unctuous /oily], bahala? [large in size], ka???? [itching], ghana? [thick and dense lesion], guru? [heaviness]",?vitra due to kapha
895,923,ED-5.4,the disorder is characterized by raktavar?a? [red colour],?vitra due to rakta
896,924,ED-5.5,the disorder is characterized by t?mravar?a? [coppery colour lesions],?vitra due to m??sa
897,925,ED-5.6,the disorder is characterized by ?v?tavar?a? [white colour lesions],?vitra due to m?das
898,926,ED-5.7,"the disorder is characterized by sambaddhama??alam [non overlapping lesions], ant?j?tam [lesions developing on extremities, lips etc.], raktar?ma? [in which the terminal hairs are red], agnidagdhajanya?rvitram [those which developed after burns]",Incurable ?vitra
899,927,ED-6,"the disorder is characterized by mas?r?kr?ti-pi?ak? [lentil form pustules on skin], mas?rasa?sth?na-pi?ak? [lentil size pustules on skin]",smallpox
900,928,ED-6.1,"the disorder is characterized by jvaram [fever], ka???? [itching], g?trabha?ga? [breaking pain in body], arati? [distress/dicontent/restlessness], bhrama? [giddiness or dizziness], tvaci ??tha? [oedema on skin], vaivar?yam [discolouration], n?trar?ga? [redness of eyes]",prodromes of mas?rik?
901,929,ED-6.2,"the disorder is characterized by ?y?va-sph??a? [blackish eruptions], aru?a-sph??a? [slightly reddish eruptions], r?k?a-sph??a? [dry eruptions], t?vrav?dan? (sph??a?) [severe pain], ka?hina-sph??a? [hard eruptions], cirap?ka? [take a long time to suppurate], sandhi-bh?da? [breaking/splitting pain in joints], asthi-bh?da? [breaking/splitting type of pain in the bones], parva-bh?da? [breaking type of pain in small joints], k?sa? [cough], kampa? [tremors], arati? [distress/dicontent/restlessness], klama? [exhaustion without exertion], t?lu-???a? [dryness of palate], ???ha-???a? [dryness of the lips], jihv?-???a? [dryness of the tongue], tr???? [thirst], aruci? [tastelessness]",mas?rik? due to v?ta
902,930,ED-6.3,"the disorder is characterized by rakta-sph??a? [red eruptions], p?ta-sph???? [yellow eruptions], asita-sph??a? [blackish eruptions], d?ha? [burning sensation], t?vrav?dan? [severe pain], acirap?ka? [suppurates quickly], vi?bh?da? [altered stools/loose motions], a?gamarda? [generalised bodyache], d?ha? [burning sensation], tr???? [thirst], aruci? [tastelessness], mukhap?ka? [stomatitis], ak?ir?ga? [redness in the eyes], t?vra jvara? [severe fever], sud?ru?ajvara? [very distressing and high fever]",mas?rik? due to pitta
903,931,ED-6.4,"the disorder is characterized by kaphapras?ka? [salivation], staimityam [a sensation of being covered with wet clothes], ?ir?ruk [headache], g?tragauravam [heaviness of the limbs], hr?ll?sa? [nausea], aruci? [tastelessness], nidr? [sleep], tandr? [drowsiness/lassitude], ?lasyam [lethargy], ?v?tapi?ak? [white], snigdhapi?ak? [unctuous apprearance of eruptions], sth?lapi?ak?/bhr??asth?la? [large eruptions], ka???ra? [associated with an itching sensation], mandav?dan? [mild pain], cirap?k? [take a long time to suppurate]",mas?rik? due to kapha
904,932,ED-6.5,"the disorder is characterized by n?l? [blue eruptions], cipi?avist?r?? [flat eruption], madhy? nimn? [depresssed in the centre], mah?ruj? [severe pain], cirap?k? [take a long time to suppurate], prabh?tap?tisr?va? [exccessive pus discharge], ka??har?dha? [obstruction of throat], aruci? [tastelessness], stambha? [rigidity/stiffness], pral?pa? [excess talking/irrelevant speech/incoherent speech], arati? [distress/dicontent/restlessness]",mas?rik? due to three d??a
905,933,ED-6.6,"the disorder is characterized by rakta-sph??a? [red eruptions], p?ta-sph???? [yellow eruptions], asita-sph??a? [blackish eruptions], d?ha? [burning sensation], t?vrav?dan? [severe pain], acirap?ka? [suppurates quickly], vi?bh?da? [altered stools/loose motions], a?gamarda? [generalised bodyache], d?ha? [burning sensation], tr???? [thirst], aruci? [tastelessness], mukhap?ka? [stomatitis], ak?ir?ga? [redness in the eyes], t?vra jvara? [severe fever], sud?ru?ajvara? [very distressing and high fever]",mas?rik? due to rakta
906,934,ED-6.7,-,mas?rik? affecting seven dh?tu
907,935,ED-6.7.1,"the disorder is characterized by t?yabudbudasa?k??api?ak? [vesicles appear like bubble in the water], bhinn? t?yasr?va? [watery discharge on rupture of vesicles], svalpad??a? [less severity]",mas?rik? afflicting rasa
908,936,ED-6.7.2,"the disorder is characterized by l?hit?k?rapi?ak? [blood like appearance], ??ghrap?k?? [sudden onset of suppuration], tanutvak [thin skin], bhinn? rakta? sravanti [discharge of blood on rupture], na atyarthadu??a? [not much severe]",mas?rik? due to rakta
909,937,ED-6.7.3,"the disorder is characterized by ka?hina-pi?ak? [hard eruptions], snigdha-pi?ak? [unctuous apprearance of eruptions], cirap?ka? [take a long time to suppurate], ghanatvak [thick skin], g?tra??la? [body pain], tr??? [thirst], ka???? [itching], jvara? [fever], arati? [distress/dicontent/restlessness]",mas?rik? afflicting m??sa
910,938,ED-6.7.4,"the disorder is characterized by ma??al?k?ra-pi?ak? [rounded eruptions], mr?du-pi?ak? [soft on touch], kiñcit unnatam [slightly raised], gh?ra jvarapar?tam [associated with severe fever], sth?la? [broad], snigdhapi?ak? [unctuous apprearance of eruptions], sav?dana? [associated with pain], samm?ha? [unconsciousness/confusion], arati? [distress/dicontent/restlessness], sant?pa? [burning sensation]",mas?rik? afflicting m?das
911,939,ED-6.7.5,"the disorder is characterized by k?udra-pi?ak? [small sized eruptions], g?trasama? [colour of eruptions similar to skin], r?k?a? [dry eruptions], cipi?? [flat eruptions], kiñcidunnata? [slightly raised eruptions], bhr??asa?m?ha? [marked confusion], v?dan? [pain], arati-sa?yuta? [severe distress/dicontent/restlessness], marmacch?da? [affects /damage of marmasth?na (vital parts)], ??u-pr??a-hara? [causes sudden death], bhramar??a iva viddh?ni asth?ni [pain in bones as if bitten by bee]",mas?rik? afflicting asthi
912,940,ED-6.7.6,"the disorder is characterized by k?udra-pi?ak? [small sized eruptions], g?trasama? [colour of eruptions similar to skin], r?k?a? [dry eruptions], cipi?? [flat eruptions], kiñcidunnata? [slightly raised eruptions], bhr??asa?m?ha? [marked confusion], v?dan? [pain], arati-sa?yuta? [severe distress/dicontent/restlessness], marmacch?da? [affects /damage of marmasth?na (vital parts)], ??u-pr??a-hara? [causes sudden death], bhramar??a iva viddh?ni asth?ni [pain in bones as if bitten by bee]",mas?rik? afflicting majj?
913,941,ED-6.7.7,"the disorder is characterized by pakkabh??(pi?ak?) [suppurated appearance of eruptions], snigdha-pi?ak? [unctuous apprearance of eruptions], s?k?ma-pi?ak? [minute eruptions], atyarthav?dan? [extremely painful], staimityam [a sensation of being covered with wet clothes], arati? [distress/dicontent/restlessness], sa?m?ha? [unconsciousness/confusion], d?ha? [burning sensation], unm?dasamanvita? [associated with insanity], dr??yat? na tu j?vitam [causes death]",mas?rik? afflicting ?ukra
914,942,ED-6.8,-,chicken pox
915,943,ED-6.9,"the disorder is characterized by prav?lasadr??a? [having appearance similar to coral], jamb?phal?pama? [having appearance similar to jamb?phala?], l?haj?lasama? [having appearance similar to l?haj?la], atas?phalasannibha? [having appearance similar to atas?phala], bahuvidhavar?a? [having numerous colours], k?sa? [cough], hikk? [hiccup], pram?ha? [fainting/severe confusion], t?vrasud?ru?ajvara? [severe and fatal fever], pral?pa? [excess talking/irrelevant speech/incoherent speech], arati? [distress/dicontent/restlessness], m?rcch? [syncope/attacks of swooning], tr???? [thirst], d?ha? [burning sensation], atigh?r?at? [abnormal appearance of eyes], mukh?na raktasr?va? [bleeding from the mouth], n?sik?bhy?? raktasr?va? [bleeding through nose], cak?u?? raktasr?va? [bleeding from eyes], ka??h? ghurghuraka? [making ghur-ghur sound], ?vasityatyarthav?danam [painful breathing]",incurable mas?rik?
916,944,SL81(ED-7),"It is characterised by bleeding from body orifices or beneath the skin. This may be explained by: (a) Aggravated pitta which brings about excitement of the blood, propelling it through the body orifices.",Bleeding disorder disorder (TM2)
917,945,ED-7.1,"the disorder is characterized by anann?bhil??a? [disinclination for food], bhuktasya vid?ha? [heartburn after having food], ?uktagandharas?dg?ra? [fermented smell and taste in belch], amlagandharas?dg?ra? [sour smell and taste in belch], abh?k??a? cchardi? [frequent vomiting], charditasya baibhastyam [abhorrence towards vomitus], svarabh?da? [hoarseness of voice], g?tr???? sadanam [weakness of body], parid?ha? [severe burning sensation], mukh?t dh??m?gamanamiva [feels as if fumes are coming from the mouth], l?hagandh?syatvam [metallic smell in the mouth], l?hitagandh?syatvam [smell of blood in the mouth], matsyagandh?syatvam [fishy smell in the mouth], ?magandh?syatvam [rancid smell in the mouth], rakta/harita/h?ridra a?g?vayava?/var?at? nayan?di?u [reddish/greenish or yellowish discoloration of body parts/eyes etc.], rakta/harita/h?ridra ?akr?t [reddish/greenish or yellowish discoloration of fecal matter], rakta/harita/h?ridra m?tram [reddish/greenish or yellowish discoloration of urine], rakta/harita/h?ridra sv?da? [reddish/greenish or yellowish discoloration of sweat], rakta/harita/h?ridra l?l? [reddish/greenish or yellowish discoloration of saliva], rakta/harita/h?ridra si?gh??aka? [reddish/greenish or yellowish discoloration of nasal excreta], rakta/harita/h?ridra ?syamala? [reddish/greenish or yellowish discoloration of oral excreta], rakta/harita/h?ridra kar?amala? [reddish/greenish or yellowish discoloration of cerumen], rakta/harita/h?ridra pi?ak?lik? [reddish/greenish or yellowish discoloration of excreta of eye.], rakta/harita/h?ridra pi?ak? [reddish/greenish or yellowish discoloration of eruptions], a?gav?dan? [body pain], abh?k??a? l?hita-n?la-p?ta-?y?va arci?mat?? r?p???? dar?anam/svan? n?la-l?hita-p?tavar??n?? dar?anam [seeing reddish/bluish/yellowish/blackish and sometimes shining objects in dreams], sadanam [exhaustion], ??tak?mitvam/??t?cch? [desire for cold], ka??hadh?m?yanam [fuming sensation in throat], l?hagandhi ni??v?sa? [metallic odour in breath], ?ir?gurutvam [heavyness of head], aruci? [tastelessness], dh?maka? [fuming sensation on belching], amlaka? [sour belching/eructation], k?sa? [cough], ?v?sa [breathlessness/difficult breathing], bhrama? [giddiness or dizziness], klama? [exhaustion without exertion], svarak?aya? [diminution of voice/loss of voice], n?lal?hitap?t?n?? var??n?? aviv?canam [inability to differentiate blue, red and yellow colours]",prodromes of raktapitta
918,946,ED-7.2,"the disorder is characterized by kar??t rakta pracyavanam [bleeding through ear], n?sik?t rakta pracyavanam [bleeding through nose], n?tr?t rakta pracyavanam [bleeding through eyes], ?sy?t rakta pracyavanam [bleeding through mouth]",upward-raktapitta
919,947,ED-7.3,"the disorder is characterized by gud?t raktasr?va [bleeding per rectum], m??hr?t raktasr?va [bleeding through penis], y?nita? raktasr?va? [bleeding through vagina]",downward-raktapitta
920,948,ED-7.4,-,bidirectional-raktapitta
921,949,ED-7.5,"the disorder is characterized by ?y?varaktapravr?tti? [blacksh blood discharge], aru?araktapravr?tti? [slightly reddish blood discharge], saph?naraktapravr?tti? [frothy blood discharge], tanuraktapravr?tti? [reduced viscocity of bood discharge], r?k?araktapravr?tti? [reduced unctoousness of bood discharge]",raktapitta due to v?ta
922,950,ED-7.6,"the disorder is characterized by ka??y?bha-raktapravr?tti? [ochre coloured blood discharge], kr???a-raktapravr?tti? [black coloured blood discharge], g?m?trasannibha-raktapravr?tti? [blood discharge resembling colour of cow's urine], m?cak?g?radh?m?bha-raktapravr?tti? [blood like eyes of peacocks tail or else may be like soot or collyrium], añjan?bha-raktapravr?tti? [blood discharge resembling collyrium]",raktapitta due to pitta
923,951,ED-7.7,"the disorder is characterized by s?ndra-raktapravr?tti? [a viscid blood passing], sap???u-raktapravr?tti? [pale blood passing], sasn?ha-raktapravr?tti? [oleaginous blood passing], picchila-raktapravr?tti? [sleepary blood passing], kaph?nvita-raktapravr?tti? [mucoid blood passing]",raktapitta due to kapha
924,952,ED-7.8,the disorder is characterized by sa?sr???ali?gam [mixed symptoms of all types of raktapitta],raktapitta due to three d??a.
925,953,ED-7.9,-,intractable raktapitta
926,954,ED-7.10,-,complications of raktapitta
927,955,ED-7.11,-,fatal signs of raktapitta
928,956,ED-8(SP11),-,Rheumatism disorder due to blood (TM2) ?
929,957,ED-8.1,"the disorder is characterized by sv?da? atyartham [excessive sweating], asv?da? [anhidrosis/lack of sweating], k?r??yam [blackish discoloration of body], spar??jñatvam [loss of touch sensation], k?at??tiruk [severe pain on injury/when hit], sandhi?aithilyam [dislocation of joint/lax joints], ?lasyam [lethargy], sadanam/s?da? [exhaustion], pi?ak?dgama? [appearance of eruptions], j?nu/ja?gh?/?ru/ka?i/a?sa/hasta/p?da/a?ga/sandhi nist?da? [pain in knee/leg/thigh/shoulder/hands/feet/body parts or joints], j?nu/ja?gh?/?ru/ka?i/a?sa/hasta/p?da/a?ga/sandhi sphura?am [tremors in knee/leg/thigh/shoulder/hands/feet/body parts or joints], j?nu/ja?gh?/?ru/ka?i/a?sa/hasta/p?da/a?ga/sandhi bh?da? [splitting pain in knee/leg/thigh/shoulder/hands/feet/body parts or joints], j?nu/ja?gh?/?ru/ka?i/a?sa/hasta/p?da/a?ga/sandhi gurutvam [heaviness in knee/leg/thigh/shoulder/hands/feet/body parts or joints], j?nu/ja?gh?/?ru/ka?i/a?sa/hasta/p?da/a?ga/sandhi supti? [numbness in knee/leg/thigh/shoulder/hands/feet/body parts or joints], ka???? [itching], sandhi?u ruk [pain in joints], bh?tv? bh?tv? na?yati v? asakr?t [repeated sudden onset], vaivar?yam [discolouration], ma??al?tpatti? [appearance of rounded eruptions], ?lath??gat? [flaccidity/laxity in body parts]",prodromesof v?tarakta
930,958,ED-8.2,"the disorder is characterized by ka???? [itching], d?ha? [burning sensation], ruk [pain], ?y?ma? [feeling of stretching], t?da? [pricking pain], sphura?am [pulsating sensation], kuñcanam [contraction], ?y?varakt? tvak [brownish black discoloration of skin], tvagb?hy? t?mr? [coppery discoloration on exterior of skin], l?hita-tvak [reddish discoloration of skin]",superficial- v?tarakta
931,959,ED-8.3,"the disorder is characterized by ?vayathu? [swelling], stabdha? [stiffness], ka?hina?/grathita? [hardness], bhr??am arti? [sudden onset of pain], ?y?va? [bluish black colour], t?mravar?a? [copper colour], d?ha? [burning sensation], t?da? [pricking pain], sphura?am [pulsating sensation], p?ka? [inflammation/suppuration], ruj? [pain], vid?ha? [internal burning sensation], khañjat? [lameness], p??gulyam [limping of both leg], vakrat? [deformities]",deep- v?tarakta
932,960,ED-8.4,-,binary v?tarakta
933,961,ED-8.5,-,v?tarakta due to d??a
934,962,ED-8.5.1(SP11),-,Rheumatoid arthritis disorder due to blood (TM2) ?
935,963,ED-8.5.2(SP14),"It is characterised by pain, swelling and tenderness of the foot especially great toe. This may be explained by: (a) Derangement of vata and blood associated with pitta.",Gout disorder (TM2)
936,964,ED-8.5.3,"the disorder is characterized by staimityam [a sensation of being covered with wet clothes], gurut? [heaviness], supti? [insensitive to touch], snigdhatvam [unctuousness of body], ??tat?? [coldness], ka???? [itching], mandaruk [mild pain]",v?tarakta due to kapha
937,965,ED-8.5.4,"the disorder is characterized by ??th? atiruk [severe pain in the swelling], ??th? atit?da? [pricking pain in the swelling], t?mra??tha? [coppery coloured swelling], cimicim?yanam [tingling sensation], snigdha-ruk?ai? na ?amanam (??phasya) [it subsides neither with fatty nor with dry medicaments], ka???? [itching], kl?dasamanvita?(??pha?) [moist discharge/wetness]",v?tarakta due to rakta
938,966,ED-8.5.5,-,v?tarakta due to two d??a
939,967,ED-8.5.6,-,v?tarakta due to three d??a
940,968,ED-8.6,-,difficult to manage v?tarakta
941,969,ED-8.7,"the disorder is characterized by asvapna? [insomnia/sleeplessness], ar?caka? [tastelessness], ?v?sa? [breathlessness/difficult breathing], m??sak?tha? [suppuration of m??sa], ?ir?graha? [stiffness of head], m?rcch? [syncope/attacks of swooning], mada? [intoxication], ruj? [pain], tr????? [thirst], jvara? [fever], m?ha? [semiconsciousness or stupefaction], v?panam [shivering/tremors], hikk? [hiccup], p??gulyam [limping of both legs in paraplegia], visarpa? [spreading cellulitis/erysipelas], p?ka? [inflammation/suppuration], t?da? [pricking pain], bhrama? [giddiness or dizziness], klama? [exhaustion without exertion], a?gul?vakrat? [deformity of fingers], sph??a? [blister], d?ha? [burning sensation], marmagraha? [afflicted with marma site], arbuda? [tumor], m?ha? [confusion/delirium], sa?prasr?v? [oozing of discharges], vivar?am [discolouration], stabdham [stiffness], arbudakr?t [leading to tumour]",intractable v?tarakta
942,970,ED-8.8,-,complications of v?tarakta
943,971,ED-8.9,-,fatal sign of v?tarakta
944,972,ED-9,"the disorder is characterized by gambh?rastha?/mah?m?la? sud?ru?a? granthi? [deep seated fatal swelling], hr?dy? t?vrav?dan? [severe pain in cardiac region], kl?mni t?vrav?dan? [severe pain in kl?ma], yakr?ti t?vrav?dan? [severe pain in liver region], pl?hni t?vrav?dan? [severe pain in splenic region], kuk?au t?vrav?dan? [severe pain in flanks], vr?kkay?? t?vrav?dan? [severe pain in renal region], n?bhy?? t?vrav?dan? [severe pain in navel region], va?k?a?? t?vrav?dan? [severe pain in groins], bastau t?vrav?dan? [severe pain in basti/urinary bladder region], ??ghravid?ha? [sudden onset of suppuration], ??pham [odema], vr?tta??pham [rounded swelling], ?yata??pham [lengthened swelling]",abscess
945,973,ED-9.1,"the disorder is characterized by kr???a-var?a? (??pha?) [black swelling], aru?a-var?a??pha? [slightly red coloured swelling], paru?a??pha? [rough oedema], bhr??amatyarthav?dana? [excessively severe pain], citr?tth?naprap?ka?/cir?tth?nap?ka? [varied types of onset and suppuration], tanusr?va? [thin watery discharge], r?k?asr?va? [less unctuous discharge], aru?asr?va? [slightly reddish coloured discharge], ?y?vavar?asr?va? [blackish coloured discharge], ph?nilasr?va? [frothy discharge], vyadha? [penetrating type of pain], ch?da? [cutting type of pain], bhrama? [giddiness or dizziness], ?n?ha? [barborygmus with distention], ?abda?/?abdav?n [sound from swelling], sphura?am/spanda? [pulsating sensation], sarpa?am [spreading nature of swelling], ?y?vavar?a??pha? [blackish discoloration of swelling], vi?amasa?sthiti? [irregular appearance]",vidradh? due to v?ta
946,974,ED-9.2,"the disorder is characterized by pakv?dumbarasa?k??a??pha? [swelling resemble ripe udumbara/fig fruit], ?y?vavar?a??pha?/asita??pha? [blackish colour of swelling], jvara? [fever], d?hayuta? (d?hav?n) [produces burning sensation], k?ipr?tth?naprap?ka? [has a quick onset and suppuration], p?tasr?va? [yellowish discharge], tilasannibhasr?va? [discharge resembling tila (sesame seeds)], m??asannibhasr?va? [discharge resembling m??a (black gram)], kulatth?dakasannibhasr?va? [discharge resembling kulatth?daka?], tr???? [thirst], m?ha? [confusion/delirium], mada? [intoxication], rakta??pha? [reddish swelling], t?mra??pha? [coppery coloured swelling]",vidradh? due to pitta
947,975,ED-9.3,"the disorder is characterized by ?ar?vasadr??a? [like an earthen saucer], p???u? [pallor], ??ta?/??taka? [cold], stabdha? [stiffness], alpav?dana? [mild pain], cir?tth?naprap?ka? [develops slowly and suppurates after a long time], sit?sr?va?.?v?tasr?va? [whitish discharge], picchilasr?va? [slimy discharge], bahalasr?va? [profuse discharge], bahusr?va? [excessive/copious discharge], ka???/ka???yuta? [itching], jr?mbh? [yawning], utkl??a? [nausea/provocation of d??a], aruci? [tastelessness], gaurava? [heaviness]",vidradh? due to kapha
948,976,ED-9.4,"the disorder is characterized by n?n?var?am [variegated colouration], n?n?ruj? [vartious type of pain], n?n?sr?va? [associated with varied discharges], gh???l? [markedly raised, uneven and extensive], vi?am? [irregular nature], mah?n [broad/extensive], vi?ama-p?ka? [suppurates irregularly], sa?k?r?a? [mixed features]",vidradh? due to three d??a
949,977,ED-9.5,"the disorder is characterized by kr???asph??avr?ta? [covered by black blisters], ?y?vavar?am [blackish discolouration], t?vrad?ha? [severe burning sensation], ruj?kara? [painful], jvara? [fever], pittavidradhili?gam [features of paittika abscess], pakv?dumbarasa?k??a??pha? [swelling resemble ripe udumbara/fig fruit], ?y?vavar?a??pha?/asita??pha? [blackish colour of swelling], jvara? [fever], d?hayuta? (d?hav?n) [produces burning sensation], k?ipr?tth?naprap?ka? [has a quick onset and suppuration], p?tasr?va? [yellowish discharge], tilasannibhasr?va? [discharge resembling tila (sesame seeds)], m??asannibhasr?va? [discharge resembling m??a (black gram)], kulatth?dakasannibhasr?va? [discharge resembling kulatth?daka?], tr???? [thirst], m?ha? [confusion/delirium], mada? [intoxication], rakta??pha? [reddish swelling], t?mra??pha? [coppery coloured swelling]",vidradh? due to of rakta
950,978,ED-9.6,"the disorder is characterized by ka??ar?bha [resembles tendon], mah?ruj? [severe pain]",external vidradh?
951,979,ED-9.7,"the disorder is characterized by b?hyavidradhilak?a?am [clinical features similar to those of external abscesses], ka??ar?bha [resembles tendon], mah?ruj? [severe pain], valm?kavatsamunnaddham [resembling the shape of anthill], gulmar?pi?am [resembling g?lma]",internal vidradh?
952,980,SM56(ED-9.7.1),"It is characterised by painful suppurative swelling in anal region which may be associated with ulceration, painful defecation. This may be explained by: (a) Aggravation of pitta affecting skin, fat, muscle tissue in the anal region resulting in swelling and suppuration.",Anal abscess disorder (TM2)
953,981,ED-9.7.2,-,bladder-vidradh?
954,982,ED-9.7.3,-,naval-vidradh?
955,983,ED-9.7.4,-,abdominal-vidradh?
956,984,ED-9.7.5,-,inguinal-vidradh?
957,985,SM80(ED-9.7.6),"It is characterised by burning micturition, haematuria, pus discharge, rigors, chills and fever. This may be explained by: (a) Aggravation of pittadosha affecting kidney.",Renal abscess disorder (TM2)
958,986,ED-9.7.7,-,spleenic-vidradh?
959,987,ED-9.7.8,-,precordial-abscess
960,988,SM40(ED-9.7.9),"It is characterised by heaviness, tenderness at the site of the liver, associated with loss of appetite, breathlessness, hiccoughs, restlessness, high fever, pain, redness of face and eyes. This may be explained by: (a) Aggravation of pitta resulting in painful suppurative swelling in the liver.",Liver abscess disorder (TM2)
961,989,ED-9.7.10,-,pancreatic-vidradh? /supra renal vidradh?
962,990,ED-9.8,"the disorder is characterized by jvara? [fever], tr???? [thirst], d?ha? [burning sensation], pittavidradhilak?a?am [has the clinical features of a paittika abscess], pakv?dumbarasa?k??a??pha? [swelling resemble ripe udumbara/fig fruit], ?y?vavar?a??pha?/asita??pha? [blackish colour of swelling], jvara? [fever], d?hayuta? (d?hav?n) [produces burning sensation], k?ipr?tth?naprap?ka? [has a quick onset and suppuration], p?tasr?va? [yellowish discharge], tilasannibhasr?va? [discharge resembling tila (sesame seeds)], m??asannibhasr?va? [discharge resembling m??a (black gram)], kulatth?dakasannibhasr?va? [discharge resembling kulatth?daka?], tr???? [thirst], m?ha? [confusion/delirium], mada? [intoxication], rakta??pha? [reddish swelling], t?mra??pha? [coppery coloured swelling]",vidradh? due to trauma/exogenous-vidradh?
963,991,ED-9.9,-,upper body-vidradh?
964,992,ED-9.10,-,lower-body vidradh?
965,993,ED-9.11,-,pakva state of vidradh?
966,995,ED-9.12,-,intractable vidradh?
967,996,ED-9.13,-,fatal signs of vidradh?
968,997,ED-10 (SN5Y),-,Acute spreading eruptions disorder (TM2) ?
969,998,ED-10.1,-,external-visarpa
970,999,ED-10.2,-,Internal-visarpa
971,1000,ED-10.3,-,intro-external visarpa
972,1001,ED-10.4,"the disorder is characterized by bhrama? [giddiness or dizziness], davathu? [burning sensation of eye], pip?s? [thirst], nist?da? [pricking type of pain], ??la? [severe pain], a?gamarda? [generalised bodyache], udv???anam [cramps], kampa? [tremors], jvara? [fever], tamaka? [black outs], k?sa? [cough], asthibh?da? [breaking/splitting type of pain in the bones], sandhibh?da? [breaking/splitting pain in joints], asthivi?l??a?am [feel of loosening in bones], sandhivi?l??a?am [loosening /dislocation of joints], v?panam [shivering/tremors], ar?cakam [tastelessness], avip?ka? [indigestion], cak?u??? ?kulatvam [querulous eyes], asr?gamanam [bleeding], a?g??u pip?lik? iva sañc?ra? [tingling sensation], ?y?v?bh?sa??tha? [geyish coloured oedema], aru??bh?sa??tha? [slightly reddish coloured oedema], atim?tra? bh?da? [excessive tearing sensation], atim?tra? ?y?ma? [excessive stretching], atim?tra? sa?k?ca? [excessive contracture], atim?tra? har?a? [horripilation], atim?tra? sphura?am [excessive twitching], v?tajvara-samavyath? [constitutional features as in v?taja fever], pakvabhinn? v?tavra??tpatti? [wound/ulcer formation after rupture of rippened (absess)]",visarpa due to v?ta
973,1002,ED-10.5,"the disorder is characterized by jvara? [fever], tr???? [thirst], m?rch? [syncope/attacks of swooning], m?ha? [confusion/delirium], chardi? [vomitting/emesis], ar?caka? [tastelessness], a?gabh?da? [breaking pain in body], atim?tra? sv?da? [excessive perspiration], antard?ha? [burning sensation inside the body], pral?pa? [excess talking/irrelevant speech/incoherent speech], ?ir?ruk [headache], cak?u??r?kulatvam [querulous eyes], asvapnam [insomnia/sleeplessness], arati? [distress/dicontent/restlessness], bhrama? [giddiness or dizziness], ??tav?ritar?a? atim?tram [excessive desire for cold water], ??tav?tatar?a? atim?tram [excessive desire for cold air], haritan?tratvam [greenish tint in eyes/excessive icterus], haritam?tratvam [green coloured urine], haritavarcastvam [greenish tint in stool], haritar?padar?anam [greenish vision (of patient)], h?ridran?tratvam [yellow coloured eyes], h?ridram?tratvam [yellowish discoluration of urine], h?ridravarcastvam [excess yellow tint to stool], h?ridrar?padar?anam [yellowish vision (of patient)], visarpayukt?vak??asya t?mratvam [pinkish colouration of visarpa affected area], visarpayukt?vak??asya haritatvam [greenish colouration of visarpa affected area], visarpayukt?vak??asya h?ridratvam [yellowish colouration of visarpa affected area], visarpayukt?vak??asya n?latvam [bluish colouration of visarpa affected area], visarpayukt?vak??asya kr???atvam [blackish colouration of visarpa affected area], visarpayukt?vak??asya raktatvam [redness of visarpa affected area], uts?da? [local swelling], atim?tra? d?ha? [severe burning sensation], atim?trabh?danam [excessive breaking pain], t?mrasr?vayuktasph??a? [eruption with pinkish discharge], haritasr?vayuktasph??a? [eruption with greenish discharge], h?ridrasr?vayuktasph??a? [eruption with yellowish discharge], n?lasr?vayuktasph??a? [eruption with blueish discharge], kr???asr?vayuktasph??a? [eruption with blackish discharge], raktasr?vayuktasph??a? [eruptions with bloody discharge/with bleeding], drutagati? [speedy/quick/swift gait], atil?hita?(p??ak?) [furuncle with deep red colour], pittajvarali?ga? [constitutional features of pittaja fever], pakvabhinn? pittavra??tpatti? [pitta dominant wound formation in rippened and ruptured (abscess)]",visarpa due to pitta
