Sr No.,NAMC_ID,NAMC_CODE,NAMC_TERM,Tamil_term,Name English,Long_definition,Reference
574,574,JA,Ammai Nōy,அம்மை நோய்,Measles,,
575,575,JAB,Aẕal,அழல்,Measles classified under Azhal,,
576,576,JAB1.1,Kaṭuku Ammai,கடுகு அம்மை,"Measles associated with stupor, diarrhoea and sore throat","It is characterised by high fever, vesicles appear on third day and aggregate later, giddiness, diarrhoea, anuria, heamaturia and anasarca,the vesicles will disappear on thirteenth day. It is explained by the increased of vali. Among the seven Uṭaṟtātukk","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 160"
577,577,JAB1.2,Kallutari Ammai,கள்ளுதரி அம்மை,Measles associated with diarrhoea,"It is characterised by continous fever, vomiting, body pain excessive diarrhoea, dehydration, excessive thirst, fainting and incoherent talk with development of vesicles on third day and disapperance of the vesicles on tenth day. It is explained by agg","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 159"
578,578,JAB1.3,Karumpaṉicai Ammai,கரும்பனிசை அம்மை,Measles associated with anal pain,"It is characterised by continous fever for three days, vesicles appears on fourth day and later develops into pustules, itching, anal pain and diarrhoea also present. It is explained by increased of Aẕal and later vali. Among the seven Uṭaṟtātukkaḷ, Cār","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 161"
579,579,JAB1.4,Koḷḷammai,கொள்ளம்மை,Measles associated with febrile fits,"It is characterised by continous fever, convulsion, frequent vomiting, incoherent talk and stammering of speech, development of mustard size pustule which disappears on thirteenth day. It is explained by increased of Aẕal and then vali. Among the seven","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 159"
580,580,JAB1.5,Kuḷuvaṉ Ammai,குளுவன் அம்மை,Measles associated with big vesicles,"It is characterised by continous fever for three days, red coloured vesicles which gradually increases in size like sangam fruit and disappears on tenth day. It is explained by increased Aẕal and then increases aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 162"
581,581,JAB1.6,Miḷakammai,மிளகம்மை,Measles associated with joint pain,"It is characterised by slight fever associated with joint pain, warmthness over the body, vesicles appears on seventh day and later disappears. It is explained by increased Aẕal with vali. Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr, Ūṉ and Koẕuppu get a","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 160"
582,582,JAB1.7,Pācippayaṟṟammai,பாசிப் பயற்றம்மை,Measles associated with redness of eye,"It is characterised by high fever associated with redness of eyes, incoherent talk, anger and loss of sense. After reduction of fever, vesicles will appear and later develops into pustules on seventh day and then it drys on seventeenth day. It is explaine","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 164"
583,583,JAB1.8,Paṉaimukari Ammai,பனைமுகரி அம்மை,Measles associated with delirium,"It is characterised by fever, rigor associated with body pain, incoherent talk, sweating, swelling of neck, bilious vomiting and fatigue. In Women, menorrhagia like bleeding will appear. It is explained by the increased Aẕal. Among the seven Uṭaṟtātukkal","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 157"
584,584,JAB1.9,Varakutari Ammai,வரகுதரி அம்மை,Measles associated with haematuria,"It is characterised by high fever associated with insomnia, vomiting, ulcer formation and bleeding from the mouth, heamaturia due to urinary tract infections and multiple pustules on head. On eleventh day, pustules will disappear. It is explained by incre","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 158"
585,585,JAB1.10,Viccarippu Ammai,விச்சரிப்பு அம்மை,Measles associated with small macules all over the body,"It is characterised by high fever associated with redness of eyes, vomiting, diarrhoea and fatigue. The vesicles appear on the third day. The vesicles spread throughout the body. On seventh day the vesicles will dry. It is explained by increased of Aẕal a","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 164"
586,586,JAC,Aiyam,ஐயம்,Measles classified under Aiyam,,
587,587,JAC1.1,Pāl Ammai,பால் அம்மை,Measles associated with continous fever,"It is characterised by continous fever for three days followed by developing of pustules which gradually increase in size day by day and dry after nineth day. It is explained by increased Aẕal and then aiyam. Among the Uṭaṟtātukkaḷ, Cāram, Cennīr, Ūṉ a","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 158"
588,588,JAC1.2,Upputiri Ammai,உப்புதிரி அம்மை,Measles associated with skin patches,"It is characterised by continous fever for three days followed by vesicles on fourth day and later associated with frequent sweating with salty odour, giddiness, tiredness and dyspnoea which subsides in seven days. It is explained by increased of Aẕal an","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 161"
589,589,JAC1.3,Ventaya Ammai,வெந்தய அம்மை,Measles associated with pus,"It is characterised by high fever followed by vesicles on third day,develops into pustules on seventh day and disappear on ninth day. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr, Ūṉ and Koẕuppu get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 163"
590,590,JAD,Mukkuṟṟam,முக்குற்றம்,Measles classified under Mukkutram,,
591,591,JAD1.1,Tavaḷai Ammai,தவளை அம்மை,Measles associated with costal pain,"It is characterised by high fever associated with loss of appetite, development of vesicles on third day which subside by ninth day, phlegm in chest, dyspnoea and later deafness. It is explained by increased Aẕal and then vali. Among the seven Uṭaṟtātukk","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 162"
592,592,JB,Iḷaippu Nōy,இளைப்பு நோய்,Tuberculosis,,
593,593,JBA,Vaḷi,வளி,Tuberculosis classified under Vali,,
594,594,JBA1.1,Atōkata Tōṭam,அதோகத தோடம்,Tuberculosis affected below umbilical region,"It is characterised by slight rise of temperature in the evening, fatigue, anorexia, indigestion and tuberculi infection of gut, frequent diarrhoea, distension of lower abdomen, atrophy of limbs, frequent episode of fever, pallor and ascites . It is expla","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 249"
595,595,JBA1.2,Kōṭṭakata Tōṭam,கோட்டக்கத தோடம்,Tuberculosis affected in liver and kidney,"It is characterised by slight rise of temperature in the evening time, fatigue, anorexia, indigestion and pain in left hypochondric region, frequent urination, dysuria, atonic bladder and severe pain in posterior side of the hip. It is explained by incre","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 249"
596,596,JBA1.3,Tiriyakkata Tōṭam,திரியக்கத தோடம்,Tuberculosis affected in skin and costal,"It is characterised by slight rise of temperature in the evening, fatigue, anorexia, indigestion and tuberculi infection of skin, rashes over the nose, cheek, toes, upper and lower limbs, chronic ulcer, pain in the ribs during respiration, throbbing pain","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 249"
597,597,JBA1.4,Ūrttuvakata Tōṭam,ஊர்த்துவகத தோடம்,"Tuberculosis affected in ENT region, chest and neck","It is characterised by slight increase in temperature in the evening, fatigue, anorexia, indigestion, frequent nasal obstruction with sneezing and cough, purulent thick nasal discharge, ulcers in nasal septum and swellling around nose, hoarseness of voic","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 249"
598,598,JC,Ūẕi Nōy,ஊழி நோய்,Cholera,,
599,599,JCA,Vaḷi,வளி,Cholera classified under Vali,,
600,600,JCA1.1,Vaḷi Ūẕi,வளி ஊழி,Watery loose stools and vomiting caused by increased Vali,"It is characterised by diarrhoea associated with vomiting, giddiness, coldness of extremities, body pain, cramps, thirst, abdominal pain, distended abdomen, sunken eyes, depression, fever and flatulence . It is explained by increased vali. Among the seve","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 426"
601,601,JCB,Aẕal,அழல்,Cholera classified under Azhal,,
602,602,JCB1.1,Aẕal Ūẕi,அழல் ஊழி,Watery loose stools and vomiting caused by increased Azhal,"It is characterised by frequent diarrhoea, excessive thirst, blood and pus discharge, dryness of tongue, black discolouration of skin, vomiting, dyspnoea and fainting. It is explained by increased of Aẕal associated with aiyam.Among the seven Uṭaṟtātukkal","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 427"
603,603,JCC,Aiyam,ஐயம்,Cholera classified under Aiyam,,
604,604,JCC1.1,Aiya Ūẕi,ஐய ஊழி,Watery loose stools and vomiting caused by increased Aiyam,"It is characterised by vomiting and diarrhoea associated with excessive thirst, emaciation, sunken eyes, pallor , cold extremities and dyspnoea. It is explained by the increased aiyam and then vali. Among the seven Uṭaṟtātukkaḷ Cāram get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 428"
605,605,JD,Uḷaimāntai,உளைமாந்தை,Intestinal tuberculosis,,
606,606,JDA,Vaḷi,வளி,Intestinal tuberculosis classified under Vali,,
607,607,JDA1.1,Vāta Uḷaimāntai,வாத உளைமாந்தை,Intestinal tuberculosis caused by increased Vali,"It is characterized by pain in the chest and flanks,cough,fever,mass in the abdomen,dysentry,emaciation in the body,indigestion,and diarrhoea.It is explained by increased vali.Among seven udarthathukkal,Cāram,Cennīr and Ūṉ get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 259"
608,608,JDB,Aẕal,அழல்,Intestinal tuberculosis classified under Azhal,,
609,609,JDB1.1,Pitta Uḷaimāntai,பித்த உளைமாந்தை,Intestinal tuberculosis caused by increased Azhal,"It is characterised by unbearable abdominal pain, distended abdomen, fever, cough, boils associated with vomiting and giddiness. It is explained by increased Aẕal and then vali. Among the seven Uṭaṟtātukkaḷ Cāram,Cennīr,Ūṉ, Koẕuppu, Eṉpu, moola iand su","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 259"
610,610,JDC,Aiyam,ஐயம்,Intestinal tuberculosis classified under Aiyam,,
611,611,JDC1.1,Kapa Uḷaimāntai,கப உளைமாந்தை,Intestinal tuberculosis caused by increased aiyam,"It is characterised by vomiting, vomitus with pus, emaciaition, giddiness, mild fever, ulcers and pallor. It is explained by the aggravtion of aiyam associated with Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram,Cennīr,Ūṉ, Koẕuppu, Eṉpu, moola iand sukkilam g","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 260"
612,612,JDD,Mukkuṟṟam,முக்குற்றம்,Intestinal tuberculosis classified under Mukkutram,,
613,613,JDD1.1,Tiritōṭa Uḷaimāntai,திரிதோட உளைமாந்தை,Intestinal tuberculosis caused by derangement of Mukkutram,"It is characterised by throat pain, dyspepsia, depression, sleeplessness, itching and cough with expectoration, sputum with foul smelling. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram,Cennīr,Ūṉ, Koẕuppu, Eṉpu, Mūḷai and sukkilam","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 260"
614,614,K,Uḷa Nōykaḷ,உள நோய்கள்,Psychiatric disorders,,
615,615,KA,Piramai,பிரமை,Hallucination,,
616,616,KAA,Vaḷi,வளி,Hallucination classified under Vali,,
617,617,KAA1.1,Vāta Piramai,வாத பிரமை,Hallucination caused by increased Vali,"It is characterised by anorexia, hypersomnia, restless behaviour, wandering mind, lassitude, defective articulation, weight gain and impaired hearing. It is explained by increased vatham. Among the seven udarthathukkal Cāram ,Cennīr and Ūṉ get affected","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.85"
618,618,KAB,Aẕal,அழல்,Hallucination classified under azhal,,
619,619,KAB1.1,Pitta Piramamai,பித்த பிரமை,Hallucination caused by increased Azhal,"It is characterised by bilious vomiting, belching, hiccough, excessive appetite and thirst even after intake of food and water, anger, disrespect attitude, blushing of face, eye, mouth and all over the body, looking differently and cruelly, talking contin","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.86"
620,620,KAC,Aiyam,ஐயம்,Hallucination classified under Aiyam,,
621,621,KAC1.1,Kapa Piramai,கப பிரமை,Hallucination caused by increased Aiyam,"It is characterised by blackish discolouration of the body, dryness of mouth, tongue and teeth, loss of appetite and thirst and retraction of penis. It is explained by increased kapam. Among the seven udarthathukkal Cāram ,Cennīr and Ūṉ get affected","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.86"
622,622,KB,Kirikai,கிரிகை,Lunacy,,
623,623,KBA,Vaḷi,வளி,Lunacy classified under Vali,,
624,624,KBA1.1,Vāta Kirikai,வாத கிரிகை,Catatonic withdrawal with raising up and lying down,"It is characterised by unmindfull, remains dumb, rising and lying down suddenly, body is felt very chill due to hyperhydrosis, bruxism,unaware of environment, frequently shifting the place. It is explained by increased vatham. Among the seven udarthath",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.85
625,625,KBA1.2,Nātavintu Kirikai,நாதவிந்து கிரிகை,Manica excitement with running like fugitive,"It is characterised by wandering in the streets, hug the females, embracing them showing aggressiveness on both sex, bump on some ones head, spitting on their face, smiling on seeing his relatives and shows hostile on unknown person, being cheeky on auda",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.87
626,626,KBA1.3,Muṉaṅkal Kirikai,முனங்கல் கிரிகை,Catatonic excitement with meanining less talking,"It is characterised by folding the fingers, never stretch them out crying with tears for every 24 minutes, non- staying in one place, never lie down, lighting fire on the house, sometimes laughing and moaning. It is explained by increased vatham. Among t",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.91
627,627,KBA1.4,Valippu Kirikai,வலிப்பு கிரிகை,Catatonic excitement with veins pounding,"It is characterised by lamentation, spasmodic tremor, engorgement of the veins, screaming, involuntary movements of the head, always crying, reddish discolouration of eyes, scratching the body, dribbling of saliva. It is explained by increased vatham. A",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.94
628,628,KBA1.5,Pēypiṭi Kirikai,பேய்பிடி கிரிகை,Catatonic excitement with tearing their dresses,"It is characterised by screams, runaway to the crematorium, beating, dancing, calling the names of demen, tearing the cloth, biting others and hectic for blood, running away with meaningless cry, swallowing crematorium ash, crying lonely. It is explained",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.95
629,629,KBB,Aẕal,அழல்,Lunacy classified under Azhal,,
630,630,KBB1.1,Aṉaṟkirikai,அனற்கிரிகை,Chronic Schizophrenia with wilderness and run amack,"It is characterised by obeisance to the unknown men, roaming in low hills and barren land, picking the wasted food, nodding the head frequently, closing the mouth, disobedience, eating anything given, scratching the floor with nail, wetting the cloth by u",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.82
631,631,KBB1.2,Pitta Kirikai,பித்த கிரிகை,Chronic Schizophrenia with nakedness and smear faeces,"It is characterised by the symptoms of exhibitionism, soiling the dress and body with faecal matter, rolling himself on the floor, spitting on self and the other persons. It is explained by increased pitham. Among the seven Uṭaṟtātukkaḷ Cāram get affect",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.83
632,632,KBB1.3,Eccil Kirikai,எச்சில் கிரிகை,Chronic Schizophrenia with eating faeces and splashing water,"It is characterised by the symptoms of eating faecal matter, knocking the floor, spraying the water on his head with rejoice, eating ash, getting drenched under the rain, barking like a dog, blabbering and lamenting, making obeisance to the dog, eating t",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.84
633,633,KBB1.4,Pūta Kirikai,பூத கிரிகை,Chronic Schizophrenia with rolling in ashes and frothing in mouth,"It is characterised by confused state, biting other, wallowing on the ash, spray the slush over its head, singing, dancing and beating one who comes close to him, making cut injuries, making obeisance to the degraded persons and beating the honoured and",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.87
634,634,KBB1.5,Jala Kirikai,ஜல கிரிகை,Chronic Schizophrenia with swimming in floor,"It is characterised by getting panic while approaching water, somersaulting frequently, always strolling in and out, tasting the pica, smiling and making obeisance on seeing the persons wearing ornaments and following them, insomnia. It is explained by i",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.88
635,635,KBB1.6,Kal Eri Kirikai,கல் எரி கிரிகை,Chronic Schizophrenia with pelting stones and crying,"It is characterised by moaning with closed eyes, crying with throwing stones, get submerged in water, undressed, running frequently, uttering lies, biting the babies, hugging everybody appealing to them, appearing always naked, dribbling of saliva, linki",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.89
636,636,KBB1.7,Kumpiṭu Kirikai,கும்பிடு கிரிகை,Chronic Schizophrenia with saluting everyone,"It is characterised by symptoms like modesty to the fellow beings even on the creatures and serpents, taking more food, doing any work commanded by other expeditiously, beating the children and females and growling, improper walking, making obeisance to",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.90
637,637,KBB1.8,Alaṟu Kirikai,அலறு கிரிகை,Catatonic withdrawal with purposeless yelling,"It is characterised by symptoms like closing his eyes and keeping his extremities unmoved crying as vaa (come) and poo(go), pinching himself tearing and damaging his clothes, repeating the words what once said, rarely takes the food but eats the turmeric",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.91
638,638,KBB1.9,Maruṭ Kirikai,மருட் கிரிகை,Manica excitement with calling others and gulping water in excess,"It is characterised by symptoms like threatening by starring gaze, singing and uttering repeatedly the come, when he sees the persons, doing mockery and casting the attire, appears naked, drinking the water and beating the persons nearby, eating anything",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.92
639,639,KBC,Aiyam,ஐயம்,Lunacy classified under Aiyam,,
640,640,KBC1.1,Cilēttumak Kirikai,சிலேத்துமக் கிரிகை,Catatonic withdrawal with yawning and shutting tears,"It is characterised by pallor conjunctiva, yawning, frequent lacrimation, tapping the floor with hand, blabbering, lamenting, doing antics, sleeping, hiding, when he sees someone get panic, if someone move closer he will immediately urinate in clothes, b",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.86
641,641,KBC1.2,Mōkiṉik Kirikai,மோகினிக் கிரிகை,Manica excitement with absuing others,"It is characterised by symptoms like scolding others, increased sexual secretions , smiling when seeing females, annoyed, aversion towards food, more likes to eat betel leaves, pallor body, speaks with sympathy as though to a familiar person, tears the c",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.88
642,642,KBC1.3,Mūṭu Kirikai,மூடு கிரிகை,Catatonic withdrawal,"It is characterised by symptoms similar as delirum, chilled appearance with hyperhidrosis, lying unconscious without speech. It is explained by increased vatham, pitham and aiyam. Among the seven Uṭaṟtātukkaḷ all get affected.",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.93
643,643,KBC1.4,Nīrkuṭi Kirikai,நீர்குடி கிரிகை,Manica excitement with gulping water in excess,"It is characterised by symptoms like drinking more water and vomiting, sunken eyes, less intake of food, sings, dances and whirls himself, draws lines on the floor, dislike towards food, wallow and rolling all the time. It is explained by derangement of",Annonymous.1997.Agasthiyar maanidar kirukkugal pathinetukkum kirigai nool 64.1st edition.Thamarai noolagam.Pg.94
644,644,KC,Kuṭi Veṟi Nōy,குடிவெறி நோய்,Alcoholism,,
645,645,KCB,Aẕal,அழல்,Alcoholism classified under Azhal,,
646,646,KCB1.1,Kuṭi Veṟi Nōy,குடி வெறி நோய்,Alcoholism,"It is characterised by different symptoms in four stages due to habitual intake of fermented fruit drinks or toddy or arrack . In first stage, the person is excited, enthusiastic, state of happiness, sharp mind, retrieves the lost memory, feels warmth, en","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 533"
647,647,KD,Matāẕivu,மதழிவு,Psycological impairment,,
648,648,KDA,Vaḷi,வளி,Psycological impairment classified under Vali,,
649,649,KDA1.1,Vaḷi Mataẕivu,வளி மதழிவு,Psycological impairment with depletion of seven physical body constituents caused by derangement of,"It is characterised by disturbed sleep, dysponea, tremor, headache, bad dreams, perplexity, shivering, talking with dead persons and demons. It is explained by derangement of vatham. Among the seven Uṭaṟtātukkaḷ, Cāram get affected.","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.90"
650,650,KDA1.2,Vaṉmaikēṭu Mataẕivu,வன்மைக்கேடு மதழிவு,Psycological impairment with depletion of seven physical body constituents caused by emotional weakn,"It is characterised by severe pain in the vertex, chest and all over the body, lassitude, cough, thrist, vomiting and fever. It is explained by derangement of vatham and pitham. Among the seven Uṭaṟtātukkaḷ, Cāram get affected.","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.91"
651,651,KDB,Aẕal,அழல்,Psycological impairment classified under Azhal,,
652,652,KDB1.1,Aẕal Mataaẕivu,அழல் மதழிவு,Psycological impairment with depletion of seven physical body constituents caused by derangement of,"It is characterised by discolouration of the body (greenish yellow or colour of leaf juice), reddish discolouration of the chest and eyes, burning sensation, pyrexia, perspiration, lassitude, diarrhoea, thirst and perplexity. It is explained by derangemen","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.90"
653,653,KDC,Aiyam,ஐயம்,Psycological impairment classified under Aiyam,,
654,654,KDC1.1,Aiya Mataaẕivu,ஐய மடழிவு,Psycological impairment with depletion of seven physical body constituents caused by derangement of,"It is characterised by vomiting, vibratory feeling of chest, hypersomnia, oedema with swollen eruptions. It is explained by derangement of vatham and aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr get affected.","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.91"
655,655,KDC1.2,Uṭaṟkēṭu,உடற்கெடு,psycological impairment with depletion of seven physical body constituents caused by weakness of bod,"It is characterised by vomiting, dryness feeling of chest, hypersomnia and sluggishness, deteriorates the body rapidly. It is explained by derangement of vatham. Among the seven Uṭaṟtātukkaḷ, Cāram get affected.","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.91"
656,656,KDD,Mukkuṟṟam,முக்குற்றம்,Psycological impairment classified under Mukkutram,,
657,657,KDD1.1,Mukkuṟṟa Mataaẕivu,முக்குற்ற மதழிவு,Psycological impairment with depletion of seven physical body constituents caused by derangement of,"It is characterised by disturbed sleep, dysponea, tremor, headache, bad dreams, perplexity, shivering, reddish discolouration of the chest and eyes, burning sensation, pyrexia, perspiration, lassitude, diarrhoea, thirst and perplexity, vomiting, vibratory","R.Thiyagarajan(1995),Siddha Maruthuvam- Sirappu (2nd ed.),Chennai; Department of Indian Medicine & Homeopathy, Page No.91"
658,658,KE,Mayakkanōy,மயக்க நோய்,Stupor,,
659,659,KEA,Vaḷi,வளி,Stupor classified under Vali,,
660,660,KEA1.1,Vaḷi Mayakkanōy,வளி மயக்க நோய்,Stupor caused by increased Vali,"It is characterised by loss of senses and memory, tremor, bruxism, blackish or sometimes reddish colouration of skin, fluttering and loss of lustre. It is explained by increased vatham. Among the seven Uṭaṟtātukkaḷ, Cāram, seneer, Ūṉ and Koẕuppu get affe","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 547"
661,661,KEB,Aẕal,அழல்,Stupor classified under Azhal,,
662,662,KEB1.1,Aẕal Mayakkanōy,அழல் மயக்க நோய்,Stupor caused by increased Azhal,"It is characterised by yellowish discolouration of the eye, skin, sometimes pallor or reddish, slapping the floor with the hand, starring look, loss of memory, these symptoms appears first and then disappears early. It is explained by increased pitham. A","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 548"
663,663,KEB1.2,Kuruti Mayakkanōy,குருதி மயக்க நோய்,Stupor caused by seeing blood letting,"It is characterised by symptoms like nausea, giddiness, blackouts, loss of senses, fall down like a wooden log after seeing the oozing blood and its smell. After falling down, increased sweating, inability to use hand and legs, pallor eyes. It is expla","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 548"
664,664,KEC,Aiyam,ஐயம்,Stupor classified under Aiyam,,
665,665,KEC1.1,Aiya Mayakkanōy,ஐய மயக்க நோய்,Stupor caused by increased Aiyam,"It is characterised by pallor eyes, face, nail and whole body, dribbling of saliva, wild and bad behaviour, these symptoms disappear very late. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram get affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 548"
666,666,KEC1.2,Nañcu Mayakkam,நஞ்சு மயக்கம்,Stupor caused by toxins,"It is characterised symptoms due to intake of toxic food or inhaling toxic air, causing tremors of hand and leg, blabbering speech, blackouts and stupor state. It is explained by increased pitham. Among the seven Uṭaṟtātukkaḷ Cāram get affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 549"
667,667,KED,Mukkuṟṟam,முக்குற்றம்,Stupor classified under Mukkutram,,
668,668,KED1.1,Mukkuṟṟa Mayakkanōy,முக்குற்ற மயக்கநோய்,Stupor caused by derangement of mukkutram,"It is characterised by senses and memory, tremor, bruxism, blackish or sometimes reddish colouration of skin, fluttering and loss of lustre,nausea, giddiness, blackouts, loss of senses, fall down like a wooden log after seeing the oozing blood and its s","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine & Homeopathy, Page No 548"
