Sr No.,NUMC_ID,NUMC_CODE,Arabic_term,NAMC_TERM,Name English,Long_definition
202,201,B-23.2,عنبي,‘Inabī,Total anterior staphyloma,A type of prolapse of iris in which iris resembles the shape of grape.
203,202,B-23.3,تفاحي,Tuffāḥī,Total prolapse of iris,A type of prolapse of iris which resembles the shape of an apple. It is an extended form of prolapse which reaches up to eyelid and cause hindrance in closing the eye.
204,203,B-23.4,مسماري/ فلکی,Mismārī/ Falakī,iris prolapse similar to flattened head of nail,"When the <em>Tuffāḥī</em> type of prolapse of iris becomes chronic and gets attached to the ulcerated corneal margins, it is known as <em>Mismārī</em>."
205,204,B-24,انتشار واتساع الثقبة,Intishār wa Ittisā‘ al-Thuqba,Dilatation of pupil/Mydriasis,"Most of the Unani physicians regard both the terms as synonymous but <em>Dā’ūd Anṭākī</em> has differentiated these terms by saying that <em>Ittisā‘</em> or dilatation of pupils is a disease where as <em>Intishār</em> or the blurring of vision is a symptom which is caused by dilatation of pupil. According to the causes <em>Ittisā‘</em> or dilatation of pupils can be of many types: <em>Waramī</em> (inflammatory), <em>Yubsī</em> (decrease in aqueous humour), <em>Ḍarbī</em> (traumatic), <em>Māddī</em> (organic) and <em>Ruṭūbī</em> (excess of aqueous humour)."
206,205,B-25,ضيق الثقبة,Ḍīq al-Thuqba,Miosis/ Constriction of pupils,Narrowing or constriction of pupils that causes disturbances of vision.
207,206,B-26,نتوء القرنية,Nutū’ al-Qarniyya,Descemetocoele/Keratocele,Protrusion of the anterior part of cornea due to corneal ulcers caused by pneumococci. In this condition only the descement membrane protrudes because of increase in the intra ocular pressure.
208,207,B-27,نزول الماء,Nuzūl al-Mā’,Cataract,"Opacity of <em>Ruṭūbat Jalīdiyya</em> (lens) of the eye. In this condition patient initially feels disturbance in vision e.g. polyopia, coloured halos, seeing of objects like fly, hair, etc. It has three stages i.e. immature, mature and hypermature."
209,208,B-27.1,غمامي,Ghamāmī,immature cataract resembling the blackish cloud,A type of immature cataract in which there is cloudy fluid which is immovable.
210,209,B-27.2,ذئبقي,Dhi’baqī,immature cataract resembling the mercury,A type of immature cataract which resembles with that of mercury and appears moving in sunlight.
211,210,B-27.3,جصي,Jaṣṣī,immature cataract resembling the piece of lime,A type of immature cataract which resembles with lime stone.
212,211,B-27.4,آسمانجوني,Āsmānjūnī,immature cataract resembling the sky colour,A type of immature cataract whose colour resembles with that of sky.
213,212,B-27.5,منتشر,Muntashir,diffuse immature cataract,A fluid like immature cataract. The vision of patient gradually increases or decreases.
214,213,B-28,ماء اخضر,Mā’ Akhḍar,Glaucoma,"A disease of eye in which there is excessive production of humours and reduction in its absorption. This excess leads to the increase in tension and size of eye ball, gradual decrease in vision, etc. It has four types: <em>Ḥādd</em> (acute), <em>Muzmin</em> (chronic), <em>Nawbatī</em> (episodic) and <em>Thānwī</em> (secondary)."
215,214,B-29,جحوظ العين,Juḥūẓ al-‘Ayn,Exophthalmos,Protrusion of the eyeball.
216,215,B-29.1,جحوظ امتلائي,Juḥūẓ Imtilā’ī,congestive protrusion of eyeball,A type of protrusion of eyeball that is due to the congestion of eye ball with humours.
217,216,B-29.2,جحوظ انضغاطي,Juḥūẓ Inḍighāṭī,protrusion of eyeball due to compression,"Protrusion of eyeball due to increased pressure on eye ball as seen in strangulation, vomiting, severe headache, crying, straining for bowels, straining for labour or child birth."
218,217,B-29.3,جحوظ استرخائي,Juḥūẓ Istirkhā’ī,protrusion of eyeball due to structural loosening,Protrusion of eye ball due to paresis of eye muscles and ligaments attached to it.
219,218,B-30,سل العين,Sill al-‘Ayn,Phthisis bulbi,"In this condition there is a reduction in humours of eyes because of which different layers of eye and eye as a whole become shrunken. The disease affects mostly older people, but sometimes it affects younger people and children. This is characterized by the adherent eyelids and loss of vision."
220,219,B-31,برص العين,Baraṣ al-‘Ayn,Vitiligo iridis,Whitish discoloration or depigmentation of eyes due to impaired temperament of iris. This impaired temperament is caused by the presence of viscous humours in it.
221,220,B-32,ضعف البصر,Ḍu‘f al-Baṣar,Asthenopia/Amblyopia,"In this condition there is an impairment of vision due to strain during reading, watering of eyes and blurring. It is caused by cold and hot impaired temperament either simple or organic. It is also caused by old age due to excess of <em>Ruṭūbat Faḍliyya</em> (waste material) in the body."
222,221,B-33,تخيلات,Takhayyulāt,Visual hallucinations,False perception of images or objects which actually do not exist. This is due to congestion of morbid humours in brain and nerves. These include: 1. Seeing of pillars of smoke which is divided into many branches later. 2. Seeing of sparkles in front of eye. It is due to the compression of arteries. 3. Seeing of white objects. 4. Seeing of objects bigger than their size. 5. Seeing of objects smaller than their size. 6. Seeing of multiple objects or polyopia. 7. Seeing of objects falling down.
223,222,B-34,قصر البصر,Qaṣr al-Baṣar,Myopia,The increased convexity of lens of the eye due to which patient cannot see distant objects.
224,223,B-35,طول البصر,Ṭūl al-Baṣar,Hypermetropia,The increased concavity of lens of eye due to which patient is unable to see the nearer objects.
225,224,B-36,حول,Ḥawal,Strabismus/ Squint,"A condition in which patient especially children use their one eye. When they use both eyes, they see double images of the objects due to different curvatures of eyes. The condition may be congenital due to epilepsy, weakness of the muscles of eye, etc."
226,225,B-37,شب كوري/ عشاء,Shabkorī/‘Ashā’,Night blindness/Nyctalopia,"A disease in which patient cannot see properly in dim light and at night. It is due to the accumulation of specific viscous humours which affect optic channels. At day time these viscous humours get dissolved due to increase of temperature, sunlight and physical activity and the patient sees properly at daytime."
227,226,B-38,جهر/ روزكوري,Jahar/ Rozkorī,Day blindness/Hemeralopia,A disease in which patient cannot see properly in day light. It is due to dissolution of <em>Rūḥ Bāṣira</em> (optic pneuma) and humours of eyes in sunlight.
228,227,B-39,خفش,Khafash,Dazzleness/Glare,"Its literal meaning is small eye. In this disease, the patient finds it difficult to see clearly in daylight and is unable to tolerate the rays of the sun. Its cause is thinning of cornea and iris."
229,228,B-40,قمور,Qumūr,Moon blindness/Snow blindness,A type of disturbance or fatigue of vision which is caused by the continuous seeing at snow. In this condition sun’s rays from the snow get reflected towards eyes making the vision blurred. This condition occurs not only by continuous staring at snow but it may also be caused by staring at any other bright object also. The condition mainly affects person who travel a lot in snow. The glare of the sun’s rays cause defect of vision in such persons.
230,229,B-41,ذهاب البصر في المطامير والحبوس المظلمة,Dhahāb al-Baṣar fi’l Maṭāmīr wa’l Ḥubūs al-Muẓlima,blurring of vision due to long stay in darkness,"A condition in which patient’s pupils get dilated after staying in dark room for a long time. When he comes out, the sun rays cause blurring of vision."
231,230,B-42,بغض العين,Bughḍ al-‘Ayn,Photophobia,"The intolerance of light by eyes. It may be caused either by conditions of the eye itself e.g. corneal ulcers, uveitis, kerato conjunctivitis etc. or by some cranial disorders e.g. migraine, trigeminal neuralgia, etc."
232,231,B-43,استرخاء الجفن,Istirkhā’ al-Jafn,Ptosis,The drooping of upper eyelids due to paralysis of eye muscles or congenitally due to the defect of the muscles of eye. It may also be associated with conjunctivitis. Sometimes tumours or any inflammation of eyelids also cause drooping.
233,232,B-44,سقوط القزحية,Suqūṭ al-Qazḥiyya,Iridoptosis,Prolapse of iris due to corneal ulcers.
234,233,B-45,التصاق الجفن,Iltiṣāq al-Jafn,Symblepharon,"A disease in which there is an adherence of eyelids after conjunctivitis or some inflammation of eyelids, burn, injury, etc. It can be of two types: 1. adhesion of both eyelids, 2. adhesion of eyelids with eye ball. It is due to some diseased condition of eyeball e.g. corneal ulcers, surgery for Pterygium, trachoma, etc."
235,234,B-46,شتر ہ/ انقلاب الجفن,Shatra/ Inqilāb al-Jafn,Lagophthalmos,"Incomplete closure of the eyelids due to stricture and inversion of eyelids. It may be congenital or caused by the inflammation of eyelids, paresis of the muscles of eyelids, malsuturing of eyelids after surgery."
236,235,B-46.1,شترہ داخليہ,Shatra Dākhiliyya,Entropion,"Inversion of the eyelids towards the eyeball. This can be congenital, after surgery of eyelids or paralysis of muscles of eyelids. It may be due to scar formation or spasm of muscles."
237,236,B-46.2,شترہ خارجيہ,Shatra Khārijiyya,Ectropion,Aversion of the eyelid i.e. away from the eyeball.
238,237,B-47,صلابة الاجفان/ جسأة الاجفان,Ṣalāba al-Ajfān/ Jus’a al-Ajfān,Sclerosis of eyelids,A condition in which there is thickening and hardening of eyelids due to accumulation of cold and viscous humours. This condition generally occurs after trachoma.
239,238,B-48,سلاق/ بامني,Sulāq/ Bāmnī,Blepharitis/Tarsitis,"A type of hardening of eyelid caused by the presence of acute humours in it and is characterized by redness of eyes, itching, falling of eye lashes. It is of two types: acute and chronic."
240,239,B-49,قردان الاجفان,Qirdān al-Ajfān,Tick infestation of the eyelids,"These are the ticks found at the root of eyelids. The causative factors include excessive intake of bad quality food, lack of exercise, lack of bathing, along with pouring of putrefied matter towards eyelids."
241,240,B-50,بیاض الہدب,Bayāḍ al-Hudub,Greying of eyelashes,It is the graying of eyelashes. It usually occurs in winters and old age. It may be congenital or may be caused by phlegmatic viscous humour.
242,241,B-51,دمّل الاجفان,Dummal al-Ajfān,abscess of eyelid,It is a small swelling on the external surface of eyelids. It may occur in the central part or on the sides. It is caused by excessive use of diets that produce thick humour which deflects towards eyelids. It leads to difficulty in the movements of eyelids.
243,242,B-52,شر یٰ الاجفان,Sharā al-Ajfān,reddish swelling on eyelid,"It is a reddish swelling on the external surface of eyelids. On examination it appears as an insect bite. It is caused by sanguine, yellow bile or mixture of both with the addition of phlegm. It usually affects the children and youngsters."
244,243,B-53,نملۃ الاجفان,Namla al-Ajfān,cracking of  margins of eyelid,It is a condition in which the margins of eyelids get cracked with falling of few eyelashes. The margins are red in color with eruptions. It usually occurs in children and youngsters during summer. It is caused by the accumulation of burnt bilious matter on the eyelids. Initially the pain in the eyelids seems to be simulating with ant bite.
245,244,B-54,ثآ ليل الاجفان,Tha’ālīl al-Ajfān,wart of eyelid,It is a wart appearing on the external surface of eyelids. It is caused by putrefaction of melancholic humour (predominated by cold) flowed into the eyelids.
246,245,B-55,سلعة الاجفان,Sal‘a al-Ajfān,cyst of eyelid,"It is of four types: <em>Laḥmiyya</em>, <em>Shaḥmiyya</em>, <em>Shahdiyya</em>, <em>‘Aṣā’idiyya</em>. It commonly arises during the old age. It is caused by excessive intake of phlegm producing diets and flowing of phlegmatic matter into the eyelids."
247,246,B-56,طرف الاجفان,Ṭarf al-Ajfān,excessive blinking of eyes,It is the excessive trembling of eye lids. It is caused by falling of a foreign body in eyes and accumulation of thick gases in the eye lids. It is the body’s mechanism to get rid of these thick gases from the eyelids.
248,247,B-57,وردینج,Wardīnaj,severe conjunctivitis,It is an acute inflammation which occurs in the inner side of upper or lower eyelids or both. The causative factors include sanguineous matter coming towards eyelids or mixing of yellow bile with sanguineous matter.
249,248,B-58,جسأة الملتحم,Jus’a al-Multaḥim,hardness of the conjunctiva,"It is a type of hardness of conjunctiva with difficult eye movement. It is caused by infiltration of thick dry humours towards conjunctiva. It is characterized by slight redness accompanied by difficult movement of eyelids especially after waking up, slight pain and foreign body sensation in the eyes."
250,249,B-59,جرب العين,Jarab al-‘Ayn,Trachoma,Small pustules in the internal surface of eyelids which cause watering of eye and itching.
251,250,B-59.1,جرب منبسط,Jarab Munbasiṭ,diffused granulation of eyelids,Itching of eyes characterised by roughness of eyelids associated with itching and hardening of eyes.
252,251,B-59.2,جرب حصفي,Jarab Ḥaṣafī,granulation of eyelids with eruptions similar to prickly heat,Pustules caused by presence of acute and foul humours in the eyelids.
253,252,B-59.3,جرب تيني/ سقوسلیس,Jarab Tīnī/ Suqūsalīs,granulation of eyelids with eruptions similar to fig,When the pustules of eyelids look like fig.
254,253,B-59.4,جرب اسود,Jarab Aswad,Trachoma melonum,Black eruptions of eyelids with scarring. It is a malignant type.
255,254,B-59.5,جرب عدسي,Jarab ‘Adasī,Granular itching,Lentil shaped eruptions of the eye lids.
256,255,B-60,حكة الآماق والاجفان,Ḥikka al-Āmāq wa’l Ajfān,itching of eyelids and canthi,A type of itching of eye lids due to accumulation of saline humours on them. This causes watering of eyes and ulceration.
257,256,B-61,شرناق,Shirnāq,lipoma of upper eyelid,"A fatty swelling of the inner surface of upper eye lids which is chronic in nature. The swelling is immovable. In this condition, there is difficulty in lifting the eye lids, photophobia and watering of eyes."
258,257,B-62,برد ہ,Barada,Chalazion/Meibomian cyst,A phlegmatic swelling of the eyelid which is movable. It appears as a hail on the internal surface of eyelids.
259,258,B-63,عقدة العين,‘Uqda al-‘Ayn,Tumour of eyelids,A type of tumour found in the internal surface of eyelids due to viscous humour which later on becomes hard. It is of three types: 1. <em>Mutaḥarrik</em> i.e. movable e.g. cyst 2. hard type which is immovable 3. <em>Munbasiṭ</em> i.e. spread over the eyelid. Its thickness is not marked. Sometimes it appears reddish in colour with prominent vessels.
260,259,B-64,شعير ہ,Sha‘īra,Stye/Hordeoleum,"An inflammation of the root of eye lashes followed by pus formation, swelling, pain and oedema of eyelids."
261,260,B-65,عروسہ,‘Arūsa,swelling of eyelid,"An inflammation of the internal surface of eyelids in which signs of inflammation are more severe with more redness, pain and swelling."
262,261,B-66,توثة العين,Tūtha al-‘Ayn,mulberry shaped growth of eyelids,A type of malignant swelling caused by black bile. It is of two types: <em>Dāmiya</em> and <em> ‘Āmiya</em>.
263,262,B-67,تحجر الاجفان,Taḥajjur al-Ajfān,stony swelling of inner surface of eyelid,Hardness of eyelids caused by viscous black humour.
264,263,B-68,قروح الاجفان,Qurūḥ al-Ajfān,Ulcers of eyelids,Ulcers of eyelids that can be caused by injury to the eye or by infection.
265,264,B-69,تهبج الاجفان,Tahabbuj al-Ajfān,Oedema of eyelids,Oedema or swelling of the eyelids caused by defect in the digestive faculties of the organs e.g. in anaemia.
266,265,B-70,شعر منقلب / انقلاب الشعر,Sha‘r Munqalib/ Inqilāb al-Sha‘r,Trichiasis,"Inversion of eyelashes. Inverted eyelashes cause continuous irritation of the eyeball leading to corneal ulcers, pain and watering of eyes."
267,266,B-71,شعر زائد,Sha‘r Zā’id,Distichiasis,Growth of eyelashes from the internal edge of eyelid which create disturbance of vision. The condition is caused by infected fluids which get accumulated at the margins of eyes.
268,267,B-72,انتثار الاهداب,Intithār al-Ahdāb,Ptilosis,"Falling of eyelashes caused by malnutrition, waste humours, yellow bile or black bile. As a result of this dirt, dust and sunrays enter the eye easily causing itching, pain and disturbance of vision."
269,268,B-73,قمل الاجفان,Qummal al-Ajfān,Pediculus blepharitis,"Lice of eyelids caused by the accumulation of putrified, infected fluids."
270,269,B-74,دمعہ,Dam‘a,Epiphora,A disease in which there is continuous watering of eyes without trichiasis or any other disease of eye. It is caused by improper management of Pterygium or accumulation of fluid in head and eyes.
271,270,B-75,بوالتين,Buwālatayn,frequent flow of tears,"Continuous flow of two or three drops of tears at frequent intervals. It is due to the thickening of upper eyelid because of congestion, increased intake of alcohol and sleeplessness. When the thickened eyelid gets in contact with the other eyelid, tears roll down from the eyes."
272,271,B-76,انحطاط طبقة الشبكية و المشيمية,Inḥiṭaṭ Ṭabaqa al-Shabakiyya wa’l Mashīmiyya,Degeneration of the retina and choroid,The degenerative changes in retina and choroid may be congenital or due to malnutrition and old age. It often leads to blindness.
273,272,B-77,تصلب العروق الشبكية,Taṣallub al-‘Urūq al-Shabakiyya,Retinal arteriosclerosis,Sclerosis and thickening of the walls of smaller arteries of retina.
274,273,B-78,انفصال الشبكية,Infiṣāl al-Shabakiyya,Retinal dettachment,A condition where retina is detached from choroid. There is subluxation of retina inwards because of pressure from outside.
275,274,C,امراض اذن انف و حلق,"Amrāḍ-i-Udhun, Anf wa Ḥalaq","Diseases of Ear, Nose and Throat",
276,275,C-1,وجع الاذن,Waja‘ al-Udhun,Otalgia,"Pain of the ear can be due to cold and coryza, dental caries, foreign body or water in the ear, maggots of the ear, cleaning of ear with some sharp object, joint pain, ulcers or pustules in the ear, wax of the ear. The condition is marked by redness of ear and burning sensation with piercing pain."
277,276,C-2,طرش,Ṭarash,Impaired hearing,"Diminished power of hearing. It can be traumatic, congenital, senile, after acute diseases, hot and cold impaired temperament of ear, infiltration of viscous humours in auditory nerve, obstruction in the ear passage by ear polyp, foreign body or tumours."
278,277,C-3,وقر,Waqr,Deafness,Complete loss of hearing.
279,278,C-4,صمم/ لادي,Ṣamam/Lādī,Congenital deafness,An anomaly where patient has no external ear opening.
280,279,C-5,طنين و دوى,Ṭanīn-o-Dawī,Tinnitus/Tinnitus aurium,"A condition in which patient hears non existing voices. The condition can be continuous or intermittent. When the sound is of high pitch it is known as <em>Ṭanīn</em> and when the sound is of low pitch it is known as <em>Dawī</em>. It is due to general weakness, under nourishment, congestion of head with fluids and morbid material ,weakness of the hearing faculties, presence of wax in the ear, etc."
281,280,C-6,انفجار الدم من الاذن,Infijār al-Dam mina’l Udhun,ear bleeding,"Bleeding from the ear due to trauma or injury of the ear, insect and reptile bite, congestion of arteries and their rupture. It is often seen in the critical phase of some diseases."
282,281,C-7,ديدان الاٍذن,Dīdān al-Udhun,Maggots in the ear cavity,"Maggots in the ear cavity are due to deposition of wax, cold and coryza, etc."
283,282,C-8,التهاب الاذن,Iltihāb al-Udhun,Otitis,"Inflammation of ear which is of two types: acute and chronic. It is caused by predominance of humours, irritation of auditory nerve, syringing of ear, gout, joint pain and lymphadenitis."
284,283,C-9,سيلان الاذن,Sayalān al-Udhun,Otorrhoea,"Discharge of fluid from the external auditory meatus. The condition is common in children and persons with wet temperament. Its causes are chronic catarrh, ulcer or swelling of external auditory meatus, pustules of ear, exposure to cold environment, foreign body, acute infective diseases, during teething period in children, etc."
285,284,C-10,حكة الاذن,Ḥikka al-Udhun,Pruritus of ear,"Severe itching of the ear caused by predominance of yellow bile, maggots, wax, ulcers and pustules, predominance of gases in the ear, insect bite and diversion of saline fluids towards ear."
286,285,C-11,انكسار الاذن,Inkisār al-Udhun,Fracture of external ear,Breaking of the cartilage of ear due to trauma or injury.
287,286,C-12,انقلاع الاذن,Inqilā‘ al-Udhun,Avulsion of ear,Detachment of the pinna by severe pulling of ear or inflammation and gases inside.
288,287,C-13,قلاع الاذن,Qulā‘ al-Udhun,fissures of external ear,"The disease mostly affects children. It starts with the roughness of ear and fissures followed by discharge of yellowish fluids, itching and pruritus."
289,288,C-14,هرب الاذن,Harb al-Udhun,Dysacousia,The hypersensitivity of the auditory nerve due to which patient cannot tolerate loud sounds. It is caused by weakness of the hearing faculties of brain.
290,289,C-15,سدة الاذن,Sudda al-Udhun,Ear obstruction,"Obstruction of the external meatus of ear. It may be congenital or acquired. Congenital type can be due to imperforated meatus, polyps or membrane. Acquired type can be due to fibrosis after inflammation or foreign body of the ear. In this condition, patient cannot hear the sounds."
291,290,C-16,وسخ الاذن,Wasakh al-Udhun,Impacted wax/ Cerumen,"A condition where the wax in the ear becomes viscous and hard thereby causing hindrance in hearing. It is caused by improper cleaning of ear, dirt, dust, cold and catarrh, continuous irritation of the ear, use of sharp corrosive ear drops and increased activity of wax producing apparatus."
292,291,C-17,بثور الاذن,Buthūr al-Udhun,Eruptions of the ear,A very common condition of the ear characterized by the presence of eruptions in the ear.
293,292,C-18,قروح الاذن,Qurūḥ al-Udhun,Ear Ulcers,These are the ulcers of ear which develop as a result of bursting of swelling and eruptions. It is characterized by discharge of pus from the ears.
294,293,C-19,قذ یٰ في الاذن,Qadhā fi’l Udhun,Foreign body of ear,"Foreign body in the ear can be living and non-living. Living foreign body may be insects, flies. Non-living foreign body may be grains, rice, seeds and beads."
295,294,C-20,ورم اصل الاذن/ ورم غدۂ نکف,Waram Aṣl al-Udhun/ Waram-i-Ghudda-i-Nakaf,Parotitis/Mumps,"A type of inflammation that is usually dangerous and spreads in the form of epidemic. It may also appear in the form of parotid gland abscess, characterized by delirium, confusion and sometimes death. This is caused by morbid humours."
296,295,C-21,نزلہ و زكام,Nazla-o-Zukām,Coryza and catarrh,The flow of catarrhal fluids from the brain towards nose and throat. Some physicians have differentiated them by saying that while the flow of these fluids towards nose is known as <em>Zukām</em> the flow towards throat is known as <em>Nazla</em>. If the symptoms are intense then it is known <em>Nazla-o-Zukām Ḥārr</em> (acute). If these are of low intensity then it is known as <em>Nazla-o-Zukām Bārid</em> (chronic).
297,296,C-22,نزلہ اذنيہ,Nazla Udhuniyya,Otocatarrh,Infiltration of discharge from the head towards ear which blocks the eustachian tube leading to defect in hearing.
298,297,C-23,خشم,Khasham,Anosmia,Loss of sense of smell.
299,298,C-24,فساد الشم,Fasād al-Shamm,Anosphrasia/Parosmia,"Impairment of the sense of smell. The condition is manifested in three forms: 1. smelling of only one kind of odour due to loss of olfactory faculty of the brain caused by its impaired temperament or the accumulation of one type of humour in the forebrain, 2. smelling of different odours at a time. This is due to presence of different kinds of humour in the brain, 3. smelling of fragrances only and not of bad odours, 4. smelling of only bad odours and not fragrances."
300,299,C-25,بثور الانف,Buthūr al-Anf,Nasal papules,Eruptions in the nasal cavity that may be due to accumulation of acute humours resulting in their putrefaction.
301,300,C-26,قروح الانف,Qurūḥ al-Anf,Nasal ulcers,"Ulcers of nose which may be <em>Marṭūb</em> (wet), <em>Khushk</em> (dry) and <em>‘Afina</em> (infected). They are produced by the accumulation of acute and morbid humours."
302,301,C-27,حكة الانف,Ḥikka al-Anf,Nasal irritation,Irritation or itching of nose followed by severe burning of nose. It is due to presence of acute humour which after coming in contact with cold environment causes burning and itching.
303,302,C-28,ديدان الانف,Dīdān al-Anf,Nasal myiasis,Invasion of phlegmatic humour which causes flow of fluid mixed with blood and maggots from the nose. The condition is more common in summer and rainy season.
304,303,C-29,بخر الانف/ نتن الانف,Bakhr al-Anf/ Natn al-Anf,Ozaena,"Bad odour from the nose. Its causes may be nasal polyps, ulcers of nose, injury to the nose, foreign body in the nose, glossitis, dental caries and stomatitis. It may also be a complication of some infectious disease e.g. small pox, measles, syphilis and lymphadenitis. This is due to the upward movement of putrified gases from chest and lungs to nose."
305,304,C-30,رض الانف,Raḍḍ al-Anf,Nasal trauma,Contusion or crushing of nose due to injury in which the bone and cartilage of nose is broken.
306,305,C-31,رعاف,Ru‘āf,Epistaxis,"Bleeding from nose. It may be due to congestion, injury, during the <em>Buḥrān</em> (critical phase of disease) of disease. Other causes include presence of acute humours and increased pressure of blood."
307,306,C-32,بواسير الانف/ اربيان الانف,Bawāsīr al-Anf/ Urbiyān al-Anf,Nasal polyps,"A type of growth of nasal mucosa caused by the accumulation of melancholic blood in the vessels. It is of two types: benign which is soft in consistency and malignant which is hard in consistency. In this condition, there is discharge of fluid mixed with blood, deformity of nose and later disfigurement of face, nasal tone of voice and severe pain."
308,307,C-33,عطاس,‘Uṭās,Sneezing,"A type of reflex movement that occurs when the body tries to eliminate some irritant substance from nose and mouth. It can be caused by two factors i.e. external such as dirt, dust and internal due to involvement of brain e.g. impaired temperament of brain."
309,308,C-34,قذ یٰ الانف,Qadhā al-Anf,Foreign body in the nose,"Presence of foreign body in the nasal cavity. It can be living e.g. mosquito, flies, etc. and non-living e.g. seeds, peas, etc."
310,309,C-35,جفاف الانف,Jafāf al-Anf,Rhinitis sicca,A condition in which there is severe dryness in the nose after high fever and tuberculosis. It is sometimes due to mucilaginous material which dries because of inspiratory air.
311,310,C-36,زكام,Zukām,Coryza,"Flow of fluids from brain towards nose. It is due to exposure to hot or cold environment internally and externally. It is of two types <em>Ḥārr</em> (acute) and <em>Bārid</em> (chronic). Acute type is characterized by redness of face, fever, frequent discharge from nose, nasal sound, and irritation of nose. Chronic type is characterized by cold discharge from nose, itching, oedema of face, blockage of nose with nasal sound."
312,311,C-37,انحراف فاصل المنخرين,Inḥirāf Fāṣil al-Mankharayn,Deviated nasal septum,Deviation of nasal septum on either side. It is of two types: <em>Khilqī</em> (congenital) and <em>Iktisābī</em> (acquired).
313,312,C-38,انفى بيش حساسيت,Anfī Besh Ḥassāsiyat,Allergic rhinitis,A state of hypersensitivity induced by exposure to a particular antigen. Unani physicians have described this as a response of medicatrix naturae towards harmful substance. Nasal allergy is marked by irritation of nose and sneezing with discharge. Sometimes there is nasal blockage. On examination the nasal mucosa appears to be inflamed and oedematous.
314,313,C-39,التهاب الانف,Iltihāb al-Anf,Rhinitis,Inflammation of mucous membrane of nose.
315,314,C-39.1,التهاب الانف حاد,Iltihāb al-Anf Ḥādd,Acute rhinitis,Acute inflammation of nasal mucosa.
316,315,C-39.2,التهاب الانف مزمن,Iltihāb al-Anf Muzmin,Chronic rhinitis,Chronic inflammation of nasal mucosa.
317,316,C-39.3,التهاب الانف ضموري,Iltihāb al-Anf Ḍumūrī,Atrophic rhinitis,Chronic inflammation of nasal mucosa marked by wasting of mucous membrane and the glands.
318,317,C-39.4,التهاب الانف تكثري,Iltihāb al-Anf Takaththurī,Hypertrophic rhinitis,Chronic inflammation of nasal mucosa in which the membrane thickens and swells.
319,318,C-40,التهاب تجاويف الانف,Iltihāb-i-Tajāwīf al-Anf,Sinusitis,"Inflammation of paranasal sinuses. This condition may be purulent, non-purulent, acute and chronic. Depending upon the site of involvement it is known as ethmoidal, frontal, maxillary or sphenoidal sinusitis."
320,319,C-41,سدۂ خیشوم,Sudda-i-Khayshūm,Nasal obstruction,It is the obstruction of nasal passage caused by viscous humour or fleshy growth or crust of wounds. It is characterized by nasal tone of voice. It can also lead to tinnitus.
321,320,C-42,ورم اللسان,Waram al-Lisān,Glossitis,Inflammation of tongue which may be due to various causes but the most common is the accumulation of viscous fluids on the tongue.
322,321,C-43,حرقة اللسان,Ḥurqa al-Lisān,Glossopyrosis,"Burning sensation of tongue that may be due to infiltration of acute humour, intake of spicy foods and predominance of heat in brain and stomach."
323,322,C-44,حكة اللسان,Ḥikka al-Lisān,Pruritus tongue,Severe itching of tongue due to infiltration of sharp humours from the brain or their progression from the stomach.
324,323,C-45,تقشر اللسان,Taqashshur al-Lisān,Desquamation of tongue,Scaling of inner surface of mouth and tongue due to accumulation of sharp humours in it.
325,324,C-46,استرخاء اللسان,Istirkhā’ al-Lisān,Glossoptosis,"A condition where the tongue becomes flaccid, there is increased salivation and patient feels difficulty in speaking."
326,325,C-47,بطلان الذوق,Buṭlān al-Dhawq,Ageusia,Complete loss of sense of taste. It is a condition in which the patient can neither differentiate between hot and cold nor sweet and sour taste. It is due to accumulation of fluids in the nerves supplying the tongue.
327,326,C-48,فساد الذوق,Fasād al-Dhawq,Dysgeusia,Impairment of the sense of taste. It is a condition in which the patient feels a bitter taste of everything. It is due to the predominance of yellow bile on the tongue. Sometimes patient feels saline taste due to the preponderance of saline phlegm.
328,327,C-49,عظم اللسان,‘Iẓam al-Lisān,Megaloglossia/Macroglossia,Enlargement of tongue without inflammation because of which tongue usually protrudes out of the mouth. It is due to accumulation of fluids in the tongue. It is of two types: congenital and acquired.
329,328,C-50,ثقل اللسان,Thiql al-Lisān,Glossopathy,"Heaviness of tongue caused by spasm due to dryness, flaccidity, paralysis, meningitis, tongue tie and hard swelling or tumour of the tongue. The condition leads to speech disorders and the affected person suffers from <em>Taghayyur-i-Kalām</em> (inability to pronounce words clearly and with ease)."
330,329,C-51,ضفدع اللسان,Ḍifda‘ al-Lisān,Ranula,A type of hard growth or cyst on the under surface of tongue resembling frog due to which patient cannot speak properly.
331,330,C-52,شقاق اللسان,Shuqāq al-Lisān,Fissures of tongue,Elongated furrow/fissure of the tongue due to dry impaired temperament of head and mouth which causes irritation and burning while eating. It can also be due to the involvement of stomach. Putrified gases from the stomach dry up the tongue causing fissures.
332,331,C-53,قلاع,Qulā‘,Stomatitis/ Thrush,"A type of ulcer found on the external surface of mouth and tongue and spread towards oesophagus and stomach. It is due to accumulation of morbid humours. In this condition the patient feels burning and pain of mouth. Other symptoms that may follow are coated tongue, bad breath, nausea, vomiting, and loss of appetite. When these ulcers spread towards stomach, the patient feels difficulty in swallowing and speaking."
333,332,C-53.1,قلاع دموي,Qulā‘ Damawī,Sanguineous stomatitis,"A type of stomatitis caused by the predominance of sanguine. It is characterized by redness at the site, inflammation and raised temperature, etc."
